"Epoch","devoted-sound-306 - _step","devoted-sound-306 - _step__MIN","devoted-sound-306 - _step__MAX","devoted-sound-306 - RI score","devoted-sound-306 - RI score__MIN","devoted-sound-306 - RI score__MAX","copper-waterfall-309 - _step","copper-waterfall-309 - _step__MIN","copper-waterfall-309 - _step__MAX","copper-waterfall-309 - RI score","copper-waterfall-309 - RI score__MIN","copper-waterfall-309 - RI score__MAX","amber-rain-344 - _step","amber-rain-344 - _step__MIN","amber-rain-344 - _step__MAX","amber-rain-344 - RI score","amber-rain-344 - RI score__MIN","amber-rain-344 - RI score__MAX","worthy-yogurt-341 - _step","worthy-yogurt-341 - _step__MIN","worthy-yogurt-341 - _step__MAX","worthy-yogurt-341 - RI score","worthy-yogurt-341 - RI score__MIN","worthy-yogurt-341 - RI score__MAX","driven-waterfall-297 - _step","driven-waterfall-297 - _step__MIN","driven-waterfall-297 - _step__MAX","driven-waterfall-297 - RI score","driven-waterfall-297 - RI score__MIN","driven-waterfall-297 - RI score__MAX","fancy-waterfall-343 - _step","fancy-waterfall-343 - _step__MIN","fancy-waterfall-343 - _step__MAX","fancy-waterfall-343 - RI score","fancy-waterfall-343 - RI score__MIN","fancy-waterfall-343 - RI score__MAX"
"42","1259","1259","1259","0.9548559147003837","0.9548559147003837","0.9548559147003837","","","","","","","1259","1259","1259","0.9582063413552847","0.9582063413552847","0.9582063413552847","","","","","","","","","","","","","1259","1259","1259","0.9482929494957971","0.9482929494957971","0.9482929494957971"
"43","1289","1289","1289","0.9587266711621579","0.9587266711621579","0.9587266711621579","","","","","","","1289","1289","1289","0.960306733220282","0.960306733220282","0.960306733220282","","","","","","","","","","","","","1289","1289","1289","0.951360536000451","0.951360536000451","0.951360536000451"
"44","1319","1319","1319","0.9571433596917184","0.9571433596917184","0.9571433596917184","","","","","","","1319","1319","1319","0.9627993150238839","0.9627993150238839","0.9627993150238839","","","","","","","","","","","","","1319","1319","1319","0.9553033446483521","0.9553033446483521","0.9553033446483521"
"45","1349","1349","1349","0.9567548430018183","0.9567548430018183","0.9567548430018183","","","","","","","1349","1349","1349","0.9605337682459799","0.9605337682459799","0.9605337682459799","","","","","","","","","","","","","1349","1349","1349","0.9532245684391928","0.9532245684391928","0.9532245684391928"
"46","1379","1379","1379","0.9545031415459545","0.9545031415459545","0.9545031415459545","","","","","","","1379","1379","1379","0.9622713561620089","0.9622713561620089","0.9622713561620089","","","","","","","","","","","","","1379","1379","1379","0.9532713317207772","0.9532713317207772","0.9532713317207772"
"47","1409","1409","1409","0.9584346478901495","0.9584346478901495","0.9584346478901495","","","","","","","1409","1409","1409","0.9598563364175907","0.9598563364175907","0.9598563364175907","","","","","","","","","","","","","1409","1409","1409","0.9538637137137773","0.9538637137137773","0.9538637137137773"
"48","1439","1439","1439","0.958306649300677","0.958306649300677","0.958306649300677","","","","","","","1439","1439","1439","0.9593696309642433","0.9593696309642433","0.9593696309642433","","","","","","","","","","","","","1439","1439","1439","0.9544154074134353","0.9544154074134353","0.9544154074134353"
"49","1469","1469","1469","0.9555801098103572","0.9555801098103572","0.9555801098103572","","","","","","","1469","1469","1469","0.9602441467135091","0.9602441467135091","0.9602441467135091","","","","","","","","","","","","","1469","1469","1469","0.9530818768549023","0.9530818768549023","0.9530818768549023"
"50","1499","1499","1499","0.9580082684828338","0.9580082684828338","0.9580082684828338","","","","","","","1499","1499","1499","0.9612369128153008","0.9612369128153008","0.9612369128153008","","","","","","","","","","","","","1499","1499","1499","0.9536136502442781","0.9536136502442781","0.9536136502442781"
"51","1529","1529","1529","0.9558496697537496","0.9558496697537496","0.9558496697537496","","","","","","","1529","1529","1529","0.9607825602063123","0.9607825602063123","0.9607825602063123","","","","","","","","","","","","","1529","1529","1529","0.9513492336967447","0.9513492336967447","0.9513492336967447"
