"Epoch","silvery-fog-321 - _step","silvery-fog-321 - _step__MIN","silvery-fog-321 - _step__MAX","silvery-fog-321 - NMI score","silvery-fog-321 - NMI score__MIN","silvery-fog-321 - NMI score__MAX","honest-feather-317 - _step","honest-feather-317 - _step__MIN","honest-feather-317 - _step__MAX","honest-feather-317 - NMI score","honest-feather-317 - NMI score__MIN","honest-feather-317 - NMI score__MAX","rare-tree-337 - _step","rare-tree-337 - _step__MIN","rare-tree-337 - _step__MAX","rare-tree-337 - NMI score","rare-tree-337 - NMI score__MIN","rare-tree-337 - NMI score__MAX","pleasant-grass-346 - _step","pleasant-grass-346 - _step__MIN","pleasant-grass-346 - _step__MAX","pleasant-grass-346 - NMI score","pleasant-grass-346 - NMI score__MIN","pleasant-grass-346 - NMI score__MAX","brisk-valley-351 - _step","brisk-valley-351 - _step__MIN","brisk-valley-351 - _step__MAX","brisk-valley-351 - NMI score","brisk-valley-351 - NMI score__MIN","brisk-valley-351 - NMI score__MAX","brisk-moon-313 - _step","brisk-moon-313 - _step__MIN","brisk-moon-313 - _step__MAX","brisk-moon-313 - NMI score","brisk-moon-313 - NMI score__MIN","brisk-moon-313 - NMI score__MAX"
"31","1084","1084","1084","0.3766161312383103","0.3766161312383103","0.3766161312383103","","","","","","","","","","","","","1084","1084","1084","0.22611743228413556","0.22611743228413556","0.22611743228413556","1084","1084","1084","0.2176730215514121","0.2176730215514121","0.2176730215514121","","","","","",""
"32","1119","1119","1119","0.3775039037574559","0.3775039037574559","0.3775039037574559","","","","","","","","","","","","","1119","1119","1119","0.2182166727205409","0.2182166727205409","0.2182166727205409","1119","1119","1119","0.21872686919194265","0.21872686919194265","0.21872686919194265","","","","","",""
"33","1154","1154","1154","0.3935557958035664","0.3935557958035664","0.3935557958035664","","","","","","","","","","","","","1154","1154","1154","0.22000756903736174","0.22000756903736174","0.22000756903736174","1154","1154","1154","0.2192344313202155","0.2192344313202155","0.2192344313202155","","","","","",""
"34","1189","1189","1189","0.3778217189456341","0.3778217189456341","0.3778217189456341","","","","","","","","","","","","","1189","1189","1189","0.21703445084122444","0.21703445084122444","0.21703445084122444","1189","1189","1189","0.21855252104307737","0.21855252104307737","0.21855252104307737","","","","","",""
"35","1224","1224","1224","0.39781848126746056","0.39781848126746056","0.39781848126746056","","","","","","","","","","","","","1224","1224","1224","0.21333943948308237","0.21333943948308237","0.21333943948308237","1224","1224","1224","0.21972309872310808","0.21972309872310808","0.21972309872310808","","","","","",""
"36","1259","1259","1259","0.3899929478003436","0.3899929478003436","0.3899929478003436","","","","","","","","","","","","","1259","1259","1259","0.21519893494305217","0.21519893494305217","0.21519893494305217","1259","1259","1259","0.21714291866566635","0.21714291866566635","0.21714291866566635","","","","","",""
"37","1294","1294","1294","0.3990441871936926","0.3990441871936926","0.3990441871936926","","","","","","","","","","","","","1294","1294","1294","0.21092422428240346","0.21092422428240346","0.21092422428240346","1294","1294","1294","0.21705782949162447","0.21705782949162447","0.21705782949162447","","","","","",""
"38","1329","1329","1329","0.3844404813818128","0.3844404813818128","0.3844404813818128","","","","","","","","","","","","","1329","1329","1329","0.21519501212123138","0.21519501212123138","0.21519501212123138","1329","1329","1329","0.21875189508217693","0.21875189508217693","0.21875189508217693","","","","","",""
"39","1364","1364","1364","0.40348602421696994","0.40348602421696994","0.40348602421696994","","","","","","","","","","","","","1364","1364","1364","0.2169144187499931","0.2169144187499931","0.2169144187499931","1364","1364","1364","0.21735783769050168","0.21735783769050168","0.21735783769050168","","","","","",""
"40","1399","1399","1399","0.39449671437741624","0.39449671437741624","0.39449671437741624","","","","","","","","","","","","","1399","1399","1399","0.21126035565794143","0.21126035565794143","0.21126035565794143","1399","1399","1399","0.21572214102523293","0.21572214102523293","0.21572214102523293","","","","","",""
"41","1434","1434","1434","0.40160945425877986","0.40160945425877986","0.40160945425877986","","","","","","","","","","","","","1434","1434","1434","0.2089018428353054","0.2089018428353054","0.2089018428353054","1434","1434","1434","0.2157839697761993","0.2157839697761993","0.2157839697761993","","","","","",""
"42","1469","1469","1469","0.40598567737753993","0.40598567737753993","0.40598567737753993","","","","","","","","","","","","","1469","1469","1469","0.20874065392672783","0.20874065392672783","0.20874065392672783","1469","1469","1469","0.21385140457522014","0.21385140457522014","0.21385140457522014","","","","","",""
"43","1504","1504","1504","0.40311221561783805","0.40311221561783805","0.40311221561783805","","","","","","","","","","","","","1504","1504","1504","0.2077503014956785","0.2077503014956785","0.2077503014956785","1504","1504","1504","0.21545586540917527","0.21545586540917527","0.21545586540917527","","","","","",""
"44","1539","1539","1539","0.40425697969811863","0.40425697969811863","0.40425697969811863","","","","","","","","","","","","","1539","1539","1539","0.20452405178666844","0.20452405178666844","0.20452405178666844","1539","1539","1539","0.2156726249848085","0.2156726249848085","0.2156726249848085","","","","","",""
"45","1574","1574","1574","0.397568663631662","0.397568663631662","0.397568663631662","","","","","","","","","","","","","1574","1574","1574","0.2068694367266635","0.2068694367266635","0.2068694367266635","1574","1574","1574","0.21710016474359203","0.21710016474359203","0.21710016474359203","","","","","",""
"46","1609","1609","1609","0.3980031677713949","0.3980031677713949","0.3980031677713949","","","","","","","","","","","","","1609","1609","1609","0.20807778985890404","0.20807778985890404","0.20807778985890404","1609","1609","1609","0.21979406262438778","0.21979406262438778","0.21979406262438778","","","","","",""
"47","1644","1644","1644","0.3900418138242624","0.3900418138242624","0.3900418138242624","","","","","","","","","","","","","1644","1644","1644","0.21496724518821164","0.21496724518821164","0.21496724518821164","1644","1644","1644","0.21342838584249435","0.21342838584249435","0.21342838584249435","","","","","",""
"48","1679","1679","1679","0.4139638016547666","0.4139638016547666","0.4139638016547666","","","","","","","","","","","","","1679","1679","1679","0.20343653153673394","0.20343653153673394","0.20343653153673394","1679","1679","1679","0.2132326776994691","0.2132326776994691","0.2132326776994691","","","","","",""
"49","1714","1714","1714","0.41086596935510505","0.41086596935510505","0.41086596935510505","","","","","","","","","","","","","1714","1714","1714","0.21138128840243922","0.21138128840243922","0.21138128840243922","1714","1714","1714","0.21620837672717252","0.21620837672717252","0.21620837672717252","","","","","",""
"50","1749","1749","1749","0.40655692526127496","0.40655692526127496","0.40655692526127496","","","","","","","","","","","","","1749","1749","1749","0.22027369445707035","0.22027369445707035","0.22027369445707035","1749","1749","1749","0.22442938202123283","0.22442938202123283","0.22442938202123283","","","","","",""
"51","1784","1784","1784","0.3969171965429491","0.3969171965429491","0.3969171965429491","","","","","","","","","","","","","1784","1784","1784","0.2046388361496036","0.2046388361496036","0.2046388361496036","1784","1784","1784","0.22284600425616954","0.22284600425616954","0.22284600425616954","","","","","",""
"52","1819","1819","1819","0.3989083197044809","0.3989083197044809","0.3989083197044809","","","","","","","","","","","","","1819","1819","1819","0.20499276321048557","0.20499276321048557","0.20499276321048557","1819","1819","1819","0.21679128707265657","0.21679128707265657","0.21679128707265657","","","","","",""
"53","1854","1854","1854","0.4097142610307798","0.4097142610307798","0.4097142610307798","","","","","","","","","","","","","1854","1854","1854","0.20170336456533042","0.20170336456533042","0.20170336456533042","1854","1854","1854","0.22131326997273945","0.22131326997273945","0.22131326997273945","","","","","",""
"54","1889","1889","1889","0.4053078971410413","0.4053078971410413","0.4053078971410413","","","","","","","","","","","","","1889","1889","1889","0.20146786672104697","0.20146786672104697","0.20146786672104697","1889","1889","1889","0.19967623860170508","0.19967623860170508","0.19967623860170508","","","","","",""
"55","1924","1924","1924","0.39303013077760185","0.39303013077760185","0.39303013077760185","","","","","","","","","","","","","1924","1924","1924","0.21678982839301641","0.21678982839301641","0.21678982839301641","1924","1924","1924","0.20112440586959346","0.20112440586959346","0.20112440586959346","","","","","",""
"56","1959","1959","1959","0.39900033231441523","0.39900033231441523","0.39900033231441523","","","","","","","","","","","","","1959","1959","1959","0.20286739409133384","0.20286739409133384","0.20286739409133384","1959","1959","1959","0.19647798908325362","0.19647798908325362","0.19647798908325362","","","","","",""
"57","1994","1994","1994","0.39839165761450357","0.39839165761450357","0.39839165761450357","","","","","","","","","","","","","1994","1994","1994","0.20124146096291898","0.20124146096291898","0.20124146096291898","1994","1994","1994","0.20926521931852624","0.20926521931852624","0.20926521931852624","","","","","",""
"58","2029","2029","2029","0.4003017208902039","0.4003017208902039","0.4003017208902039","","","","","","","","","","","","","2029","2029","2029","0.19463428606690142","0.19463428606690142","0.19463428606690142","2029","2029","2029","0.16808455775673456","0.16808455775673456","0.16808455775673456","","","","","",""
"59","2064","2064","2064","0.402553503686068","0.402553503686068","0.402553503686068","","","","","","","","","","","","","2064","2064","2064","0.20072154157267938","0.20072154157267938","0.20072154157267938","2064","2064","2064","0.23369094582155547","0.23369094582155547","0.23369094582155547","","","","","",""
"60","2099","2099","2099","0.4043280822884537","0.4043280822884537","0.4043280822884537","","","","","","","","","","","","","2099","2099","2099","0.20485488834387056","0.20485488834387056","0.20485488834387056","2099","2099","2099","0.21006399575098703","0.21006399575098703","0.21006399575098703","","","","","",""
"61","2134","2134","2134","0.3989955151889958","0.3989955151889958","0.3989955151889958","","","","","","","","","","","","","2134","2134","2134","0.19855912408604404","0.19855912408604404","0.19855912408604404","2134","2134","2134","0.19094757833883172","0.19094757833883172","0.19094757833883172","","","","","",""
"62","2169","2169","2169","0.39855421822355525","0.39855421822355525","0.39855421822355525","","","","","","","","","","","","","2169","2169","2169","0.20584459921595966","0.20584459921595966","0.20584459921595966","2169","2169","2169","0.2140421377781694","0.2140421377781694","0.2140421377781694","","","","","",""
"63","2204","2204","2204","0.3977462923199632","0.3977462923199632","0.3977462923199632","","","","","","","","","","","","","2204","2204","2204","0.21199830015360446","0.21199830015360446","0.21199830015360446","2204","2204","2204","0.2133474472459456","0.2133474472459456","0.2133474472459456","","","","","",""
"64","2239","2239","2239","0.4051622465196706","0.4051622465196706","0.4051622465196706","","","","","","","","","","","","","2239","2239","2239","0.2722033061876272","0.2722033061876272","0.2722033061876272","2239","2239","2239","0.2187211722623075","0.2187211722623075","0.2187211722623075","","","","","",""
"65","2274","2274","2274","0.3978051371962977","0.3978051371962977","0.3978051371962977","","","","","","","","","","","","","2274","2274","2274","0.23374498478736902","0.23374498478736902","0.23374498478736902","2274","2274","2274","0.21402166306702006","0.21402166306702006","0.21402166306702006","","","","","",""
"66","2309","2309","2309","0.40055727741347097","0.40055727741347097","0.40055727741347097","","","","","","","","","","","","","2309","2309","2309","0.20267225432067926","0.20267225432067926","0.20267225432067926","2309","2309","2309","0.21024211967157044","0.21024211967157044","0.21024211967157044","","","","","",""
"67","2344","2344","2344","0.39443371443625563","0.39443371443625563","0.39443371443625563","","","","","","","","","","","","","2344","2344","2344","0.20074117582904327","0.20074117582904327","0.20074117582904327","2344","2344","2344","0.21032621618586875","0.21032621618586875","0.21032621618586875","","","","","",""
"68","2379","2379","2379","0.40485518264898673","0.40485518264898673","0.40485518264898673","","","","","","","","","","","","","2379","2379","2379","0.19848629995024517","0.19848629995024517","0.19848629995024517","2379","2379","2379","0.21609220762546233","0.21609220762546233","0.21609220762546233","","","","","",""
"69","2414","2414","2414","0.39074649391390837","0.39074649391390837","0.39074649391390837","","","","","","","","","","","","","2414","2414","2414","0.20855686021996026","0.20855686021996026","0.20855686021996026","2414","2414","2414","0.21771814062917136","0.21771814062917136","0.21771814062917136","","","","","",""
"70","2449","2449","2449","0.4107443834412748","0.4107443834412748","0.4107443834412748","","","","","","","","","","","","","2449","2449","2449","0.20145171260973507","0.20145171260973507","0.20145171260973507","2449","2449","2449","0.2168304820861841","0.2168304820861841","0.2168304820861841","","","","","",""
"71","2484","2484","2484","0.40593622141111496","0.40593622141111496","0.40593622141111496","","","","","","","","","","","","","2484","2484","2484","0.20847795063226474","0.20847795063226474","0.20847795063226474","2484","2484","2484","0.21467122679218184","0.21467122679218184","0.21467122679218184","","","","","",""
"72","2519","2519","2519","0.3948276354053754","0.3948276354053754","0.3948276354053754","","","","","","","","","","","","","2519","2519","2519","0.19750902501120113","0.19750902501120113","0.19750902501120113","2519","2519","2519","0.21824723226414158","0.21824723226414158","0.21824723226414158","","","","","",""
"73","2554","2554","2554","0.39646091953486673","0.39646091953486673","0.39646091953486673","","","","","","","","","","","","","2554","2554","2554","0.19365687531867415","0.19365687531867415","0.19365687531867415","2554","2554","2554","0.21227826693029728","0.21227826693029728","0.21227826693029728","","","","","",""
"74","2589","2589","2589","0.39808693831161596","0.39808693831161596","0.39808693831161596","","","","","","","","","","","","","2589","2589","2589","0.19371283678296788","0.19371283678296788","0.19371283678296788","2589","2589","2589","0.21485999195486855","0.21485999195486855","0.21485999195486855","","","","","",""
"75","2624","2624","2624","0.4033899443500409","0.4033899443500409","0.4033899443500409","","","","","","","","","","","","","2624","2624","2624","0.19497391585489413","0.19497391585489413","0.19497391585489413","2624","2624","2624","0.2128943745699423","0.2128943745699423","0.2128943745699423","","","","","",""
"76","2659","2659","2659","0.4167238269930519","0.4167238269930519","0.4167238269930519","","","","","","","","","","","","","2659","2659","2659","0.19605408600395768","0.19605408600395768","0.19605408600395768","2659","2659","2659","0.2154202642033192","0.2154202642033192","0.2154202642033192","","","","","",""
"77","2694","2694","2694","0.4066146483805367","0.4066146483805367","0.4066146483805367","","","","","","","","","","","","","2694","2694","2694","0.19664727154584946","0.19664727154584946","0.19664727154584946","2694","2694","2694","0.21521392569998973","0.21521392569998973","0.21521392569998973","","","","","",""
"78","2729","2729","2729","0.3967583746667018","0.3967583746667018","0.3967583746667018","","","","","","","","","","","","","2729","2729","2729","0.19272347730692596","0.19272347730692596","0.19272347730692596","2729","2729","2729","0.21614238386339818","0.21614238386339818","0.21614238386339818","","","","","",""
"79","2764","2764","2764","0.39717425152156505","0.39717425152156505","0.39717425152156505","","","","","","","","","","","","","2764","2764","2764","0.18635892759459813","0.18635892759459813","0.18635892759459813","2764","2764","2764","0.21552355712262297","0.21552355712262297","0.21552355712262297","","","","","",""
"80","2799","2799","2799","0.39769276846342905","0.39769276846342905","0.39769276846342905","","","","","","","","","","","","","2799","2799","2799","0.18596416638895705","0.18596416638895705","0.18596416638895705","2799","2799","2799","0.2208073245452741","0.2208073245452741","0.2208073245452741","","","","","",""
"81","2834","2834","2834","0.3947196580329716","0.3947196580329716","0.3947196580329716","","","","","","","","","","","","","2834","2834","2834","0.1858488119579319","0.1858488119579319","0.1858488119579319","2834","2834","2834","0.2183694564684284","0.2183694564684284","0.2183694564684284","","","","","",""
"82","2869","2869","2869","0.3899735237907154","0.3899735237907154","0.3899735237907154","","","","","","","","","","","","","2869","2869","2869","0.18952371838518248","0.18952371838518248","0.18952371838518248","2869","2869","2869","0.21652172785491747","0.21652172785491747","0.21652172785491747","","","","","",""
"83","2904","2904","2904","0.40650810128223436","0.40650810128223436","0.40650810128223436","","","","","","","","","","","","","2904","2904","2904","0.1919113962279342","0.1919113962279342","0.1919113962279342","2904","2904","2904","0.1856800915783244","0.1856800915783244","0.1856800915783244","","","","","",""
"84","2939","2939","2939","0.4018797252369763","0.4018797252369763","0.4018797252369763","","","","","","","","","","","","","2939","2939","2939","0.1939633801594408","0.1939633801594408","0.1939633801594408","2939","2939","2939","0.1654810258920741","0.1654810258920741","0.1654810258920741","","","","","",""
"85","2974","2974","2974","0.402337983992107","0.402337983992107","0.402337983992107","","","","","","","","","","","","","2974","2974","2974","0.18695760618302693","0.18695760618302693","0.18695760618302693","2974","2974","2974","0.18506080875904055","0.18506080875904055","0.18506080875904055","","","","","",""
"86","3009","3009","3009","0.41147533869919845","0.41147533869919845","0.41147533869919845","","","","","","","","","","","","","3009","3009","3009","0.1914561750375796","0.1914561750375796","0.1914561750375796","3009","3009","3009","0.1610405917051961","0.1610405917051961","0.1610405917051961","","","","","",""
"87","3044","3044","3044","0.3916996292554","0.3916996292554","0.3916996292554","","","","","","","","","","","","","3044","3044","3044","0.18757388792770074","0.18757388792770074","0.18757388792770074","3044","3044","3044","0.18094504889779336","0.18094504889779336","0.18094504889779336","","","","","",""
"88","3079","3079","3079","0.401677518682314","0.401677518682314","0.401677518682314","","","","","","","","","","","","","3079","3079","3079","0.18626193947625216","0.18626193947625216","0.18626193947625216","3079","3079","3079","0.2324347505653467","0.2324347505653467","0.2324347505653467","","","","","",""
"89","3114","3114","3114","0.3936145080851647","0.3936145080851647","0.3936145080851647","","","","","","","","","","","","","3114","3114","3114","0.18067760894496923","0.18067760894496923","0.18067760894496923","3114","3114","3114","0.2271626238914894","0.2271626238914894","0.2271626238914894","","","","","",""
"90","3149","3149","3149","0.402929982820897","0.402929982820897","0.402929982820897","","","","","","","","","","","","","3149","3149","3149","0.18549379403198749","0.18549379403198749","0.18549379403198749","3149","3149","3149","0.22875255273593167","0.22875255273593167","0.22875255273593167","","","","","",""
"91","3184","3184","3184","0.4227544267989912","0.4227544267989912","0.4227544267989912","","","","","","","","","","","","","3184","3184","3184","0.1916833647556374","0.1916833647556374","0.1916833647556374","3184","3184","3184","0.23727942006348385","0.23727942006348385","0.23727942006348385","","","","","",""
"92","3219","3219","3219","0.4024471660082331","0.4024471660082331","0.4024471660082331","","","","","","","","","","","","","3219","3219","3219","0.1965618198022393","0.1965618198022393","0.1965618198022393","3219","3219","3219","0.27076752795965564","0.27076752795965564","0.27076752795965564","","","","","",""
"93","3254","3254","3254","0.40210231628827564","0.40210231628827564","0.40210231628827564","","","","","","","","","","","","","3254","3254","3254","0.19516859475232523","0.19516859475232523","0.19516859475232523","3254","3254","3254","0.22743076103841564","0.22743076103841564","0.22743076103841564","","","","","",""
"94","3289","3289","3289","0.402749855180463","0.402749855180463","0.402749855180463","","","","","","","","","","","","","3289","3289","3289","0.1877057765993785","0.1877057765993785","0.1877057765993785","3289","3289","3289","0.2552528303105225","0.2552528303105225","0.2552528303105225","","","","","",""
"95","3324","3324","3324","0.4004680004386537","0.4004680004386537","0.4004680004386537","","","","","","","","","","","","","3324","3324","3324","0.19187801653381376","0.19187801653381376","0.19187801653381376","3324","3324","3324","0.19290478315387002","0.19290478315387002","0.19290478315387002","","","","","",""
"96","3359","3359","3359","0.39640971142058656","0.39640971142058656","0.39640971142058656","","","","","","","","","","","","","3359","3359","3359","0.19160286835911525","0.19160286835911525","0.19160286835911525","3359","3359","3359","0.2911699488879837","0.2911699488879837","0.2911699488879837","","","","","",""
