"Epoch","devoted-sound-306 - _step","devoted-sound-306 - _step__MIN","devoted-sound-306 - _step__MAX","devoted-sound-306 - NMI score","devoted-sound-306 - NMI score__MIN","devoted-sound-306 - NMI score__MAX","copper-waterfall-309 - _step","copper-waterfall-309 - _step__MIN","copper-waterfall-309 - _step__MAX","copper-waterfall-309 - NMI score","copper-waterfall-309 - NMI score__MIN","copper-waterfall-309 - NMI score__MAX","amber-rain-344 - _step","amber-rain-344 - _step__MIN","amber-rain-344 - _step__MAX","amber-rain-344 - NMI score","amber-rain-344 - NMI score__MIN","amber-rain-344 - NMI score__MAX","worthy-yogurt-341 - _step","worthy-yogurt-341 - _step__MIN","worthy-yogurt-341 - _step__MAX","worthy-yogurt-341 - NMI score","worthy-yogurt-341 - NMI score__MIN","worthy-yogurt-341 - NMI score__MAX","driven-waterfall-297 - _step","driven-waterfall-297 - _step__MIN","driven-waterfall-297 - _step__MAX","driven-waterfall-297 - NMI score","driven-waterfall-297 - NMI score__MIN","driven-waterfall-297 - NMI score__MAX","fancy-waterfall-343 - _step","fancy-waterfall-343 - _step__MIN","fancy-waterfall-343 - _step__MAX","fancy-waterfall-343 - NMI score","fancy-waterfall-343 - NMI score__MIN","fancy-waterfall-343 - NMI score__MAX"
"34","1019","1019","1019","0.6990278525046456","0.6990278525046456","0.6990278525046456","","","","","","","1019","1019","1019","0.637694076160342","0.637694076160342","0.637694076160342","","","","","","","","","","","","","1019","1019","1019","0.5344509363954992","0.5344509363954992","0.5344509363954992"
"35","1049","1049","1049","0.7120823022518633","0.7120823022518633","0.7120823022518633","","","","","","","1049","1049","1049","0.6383540619561393","0.6383540619561393","0.6383540619561393","","","","","","","","","","","","","1049","1049","1049","0.5491043022667941","0.5491043022667941","0.5491043022667941"
"36","1079","1079","1079","0.6946601360589214","0.6946601360589214","0.6946601360589214","","","","","","","1079","1079","1079","0.6238961282779603","0.6238961282779603","0.6238961282779603","","","","","","","","","","","","","1079","1079","1079","0.5308411626112215","0.5308411626112215","0.5308411626112215"
"37","1109","1109","1109","0.7020028720685847","0.7020028720685847","0.7020028720685847","","","","","","","1109","1109","1109","0.6285839967379974","0.6285839967379974","0.6285839967379974","","","","","","","","","","","","","1109","1109","1109","0.5366682220352595","0.5366682220352595","0.5366682220352595"
"38","1139","1139","1139","0.7103008746346102","0.7103008746346102","0.7103008746346102","","","","","","","1139","1139","1139","0.63353648191284","0.63353648191284","0.63353648191284","","","","","","","","","","","","","1139","1139","1139","0.5298923123594864","0.5298923123594864","0.5298923123594864"
"39","1169","1169","1169","0.7138781899762736","0.7138781899762736","0.7138781899762736","","","","","","","1169","1169","1169","0.6388801963920605","0.6388801963920605","0.6388801963920605","","","","","","","","","","","","","1169","1169","1169","0.5498521732410012","0.5498521732410012","0.5498521732410012"
"40","1199","1199","1199","0.6964010800396643","0.6964010800396643","0.6964010800396643","","","","","","","1199","1199","1199","0.6364940718859937","0.6364940718859937","0.6364940718859937","","","","","","","","","","","","","1199","1199","1199","0.5416455833766837","0.5416455833766837","0.5416455833766837"
"41","1229","1229","1229","0.44710415011806276","0.44710415011806276","0.44710415011806276","","","","","","","1229","1229","1229","0.6363376207552555","0.6363376207552555","0.6363376207552555","","","","","","","","","","","","","1229","1229","1229","0.5610871343783721","0.5610871343783721","0.5610871343783721"
"42","1259","1259","1259","0.5341153436847619","0.5341153436847619","0.5341153436847619","","","","","","","1259","1259","1259","0.6300930434257905","0.6300930434257905","0.6300930434257905","","","","","","","","","","","","","1259","1259","1259","0.5335233175553988","0.5335233175553988","0.5335233175553988"
"43","1289","1289","1289","0.5724642566937492","0.5724642566937492","0.5724642566937492","","","","","","","1289","1289","1289","0.6263005648181003","0.6263005648181003","0.6263005648181003","","","","","","","","","","","","","1289","1289","1289","0.5503171319512339","0.5503171319512339","0.5503171319512339"
"44","1319","1319","1319","0.5754636263122561","0.5754636263122561","0.5754636263122561","","","","","","","1319","1319","1319","0.639787012470363","0.639787012470363","0.639787012470363","","","","","","","","","","","","","1319","1319","1319","0.5939346182593075","0.5939346182593075","0.5939346182593075"
"45","1349","1349","1349","0.5840774513913299","0.5840774513913299","0.5840774513913299","","","","","","","1349","1349","1349","0.6238669105261853","0.6238669105261853","0.6238669105261853","","","","","","","","","","","","","1349","1349","1349","0.5610803543018904","0.5610803543018904","0.5610803543018904"
"46","1379","1379","1379","0.5793146584298724","0.5793146584298724","0.5793146584298724","","","","","","","1379","1379","1379","0.6199378823579328","0.6199378823579328","0.6199378823579328","","","","","","","","","","","","","1379","1379","1379","0.5609636559764454","0.5609636559764454","0.5609636559764454"
"47","1409","1409","1409","0.5872271321094968","0.5872271321094968","0.5872271321094968","","","","","","","1409","1409","1409","0.6322521218177705","0.6322521218177705","0.6322521218177705","","","","","","","","","","","","","1409","1409","1409","0.5659353167278869","0.5659353167278869","0.5659353167278869"
"48","1439","1439","1439","0.5820914775853809","0.5820914775853809","0.5820914775853809","","","","","","","1439","1439","1439","0.6203126796599598","0.6203126796599598","0.6203126796599598","","","","","","","","","","","","","1439","1439","1439","0.5680800303043785","0.5680800303043785","0.5680800303043785"
"49","1469","1469","1469","0.5868859875936843","0.5868859875936843","0.5868859875936843","","","","","","","1469","1469","1469","0.6278018649642727","0.6278018649642727","0.6278018649642727","","","","","","","","","","","","","1469","1469","1469","0.5670799233641358","0.5670799233641358","0.5670799233641358"
"50","1499","1499","1499","0.5836432904189942","0.5836432904189942","0.5836432904189942","","","","","","","1499","1499","1499","0.6260444777569784","0.6260444777569784","0.6260444777569784","","","","","","","","","","","","","1499","1499","1499","0.5468362203445282","0.5468362203445282","0.5468362203445282"
"51","1529","1529","1529","0.5905474430608233","0.5905474430608233","0.5905474430608233","","","","","","","1529","1529","1529","0.6227865324602838","0.6227865324602838","0.6227865324602838","","","","","","","","","","","","","1529","1529","1529","0.5499383131610209","0.5499383131610209","0.5499383131610209"
"52","1559","1559","1559","0.6011067842352417","0.6011067842352417","0.6011067842352417","","","","","","","1559","1559","1559","0.6227452641702778","0.6227452641702778","0.6227452641702778","","","","","","","","","","","","","1559","1559","1559","0.5591515408943096","0.5591515408943096","0.5591515408943096"
"53","1589","1589","1589","0.5923409059384832","0.5923409059384832","0.5923409059384832","","","","","","","1589","1589","1589","0.6251691248913527","0.6251691248913527","0.6251691248913527","","","","","","","","","","","","","1589","1589","1589","0.5943799252685671","0.5943799252685671","0.5943799252685671"
"54","1619","1619","1619","0.6024913323407669","0.6024913323407669","0.6024913323407669","","","","","","","1619","1619","1619","0.6331250023514206","0.6331250023514206","0.6331250023514206","","","","","","","","","","","","","1619","1619","1619","0.5766534836545751","0.5766534836545751","0.5766534836545751"
"55","1649","1649","1649","0.6024358599693003","0.6024358599693003","0.6024358599693003","","","","","","","1649","1649","1649","0.6332754062904784","0.6332754062904784","0.6332754062904784","","","","","","","","","","","","","1649","1649","1649","0.5736019148252597","0.5736019148252597","0.5736019148252597"
"56","1679","1679","1679","0.6007704391538424","0.6007704391538424","0.6007704391538424","","","","","","","1679","1679","1679","0.6266882764443888","0.6266882764443888","0.6266882764443888","","","","","","","","","","","","","1679","1679","1679","0.5628540482533129","0.5628540482533129","0.5628540482533129"
"57","1709","1709","1709","0.5992628694445175","0.5992628694445175","0.5992628694445175","","","","","","","1709","1709","1709","0.6291327753286171","0.6291327753286171","0.6291327753286171","","","","","","","","","","","","","1709","1709","1709","0.5840594015018155","0.5840594015018155","0.5840594015018155"
"58","1739","1739","1739","0.5975424272462176","0.5975424272462176","0.5975424272462176","","","","","","","1739","1739","1739","0.6234420089278547","0.6234420089278547","0.6234420089278547","","","","","","","","","","","","","1739","1739","1739","0.5756877800322359","0.5756877800322359","0.5756877800322359"
"59","1769","1769","1769","0.6035410590433934","0.6035410590433934","0.6035410590433934","","","","","","","1769","1769","1769","0.6294361120935149","0.6294361120935149","0.6294361120935149","","","","","","","","","","","","","1769","1769","1769","0.5708977545422901","0.5708977545422901","0.5708977545422901"
"60","1799","1799","1799","0.6046143439643374","0.6046143439643374","0.6046143439643374","","","","","","","1799","1799","1799","0.6316152523303915","0.6316152523303915","0.6316152523303915","","","","","","","","","","","","","1799","1799","1799","0.586351436210449","0.586351436210449","0.586351436210449"
"61","1829","1829","1829","0.60228546992059","0.60228546992059","0.60228546992059","","","","","","","1829","1829","1829","0.6272367398940514","0.6272367398940514","0.6272367398940514","","","","","","","","","","","","","1829","1829","1829","0.6028766272292021","0.6028766272292021","0.6028766272292021"
"62","1859","1859","1859","0.6171524852390151","0.6171524852390151","0.6171524852390151","","","","","","","1859","1859","1859","0.6260711699587461","0.6260711699587461","0.6260711699587461","","","","","","","","","","","","","1859","1859","1859","0.5731712024550665","0.5731712024550665","0.5731712024550665"
"63","1889","1889","1889","0.6159211452542486","0.6159211452542486","0.6159211452542486","","","","","","","1889","1889","1889","0.6302133879813188","0.6302133879813188","0.6302133879813188","","","","","","","","","","","","","1889","1889","1889","0.5835640113601606","0.5835640113601606","0.5835640113601606"
"64","1919","1919","1919","0.6035636321391299","0.6035636321391299","0.6035636321391299","","","","","","","1919","1919","1919","0.621076990643448","0.621076990643448","0.621076990643448","","","","","","","","","","","","","1919","1919","1919","0.5890913325532592","0.5890913325532592","0.5890913325532592"
"65","1949","1949","1949","0.618092762395793","0.618092762395793","0.618092762395793","","","","","","","1949","1949","1949","0.6133113700441588","0.6133113700441588","0.6133113700441588","","","","","","","","","","","","","1949","1949","1949","0.6036740691069252","0.6036740691069252","0.6036740691069252"
"66","1979","1979","1979","0.6082891468736465","0.6082891468736465","0.6082891468736465","","","","","","","1979","1979","1979","0.6206308347673967","0.6206308347673967","0.6206308347673967","","","","","","","","","","","","","1979","1979","1979","0.5787275461109121","0.5787275461109121","0.5787275461109121"
"67","2009","2009","2009","0.619925899175362","0.619925899175362","0.619925899175362","","","","","","","2009","2009","2009","0.6246183809735826","0.6246183809735826","0.6246183809735826","","","","","","","","","","","","","2009","2009","2009","0.573185986016519","0.573185986016519","0.573185986016519"
"68","2039","2039","2039","0.6161332043959131","0.6161332043959131","0.6161332043959131","","","","","","","2039","2039","2039","0.6154855665998668","0.6154855665998668","0.6154855665998668","","","","","","","","","","","","","2039","2039","2039","0.583975584959976","0.583975584959976","0.583975584959976"
"69","2069","2069","2069","0.6151063009611423","0.6151063009611423","0.6151063009611423","","","","","","","2069","2069","2069","0.6240579888420678","0.6240579888420678","0.6240579888420678","","","","","","","","","","","","","2069","2069","2069","0.598980041521028","0.598980041521028","0.598980041521028"
"70","2099","2099","2099","0.6133702693980772","0.6133702693980772","0.6133702693980772","","","","","","","2099","2099","2099","0.6150770677991787","0.6150770677991787","0.6150770677991787","","","","","","","","","","","","","2099","2099","2099","0.600089954810458","0.600089954810458","0.600089954810458"
"71","2129","2129","2129","0.6291152057870962","0.6291152057870962","0.6291152057870962","","","","","","","2129","2129","2129","0.6196705179045151","0.6196705179045151","0.6196705179045151","","","","","","","","","","","","","2129","2129","2129","0.5934815927913469","0.5934815927913469","0.5934815927913469"
"72","2159","2159","2159","0.6147731620099979","0.6147731620099979","0.6147731620099979","","","","","","","2159","2159","2159","0.6109078754943725","0.6109078754943725","0.6109078754943725","","","","","","","","","","","","","2159","2159","2159","0.6007092908925556","0.6007092908925556","0.6007092908925556"
"73","2189","2189","2189","0.6215534307553761","0.6215534307553761","0.6215534307553761","","","","","","","2189","2189","2189","0.6256403939532522","0.6256403939532522","0.6256403939532522","","","","","","","","","","","","","2189","2189","2189","0.569281082238244","0.569281082238244","0.569281082238244"
"74","2219","2219","2219","0.6250569811779115","0.6250569811779115","0.6250569811779115","","","","","","","2219","2219","2219","0.6235465563741232","0.6235465563741232","0.6235465563741232","","","","","","","","","","","","","2219","2219","2219","0.6004021029541339","0.6004021029541339","0.6004021029541339"
"75","2249","2249","2249","0.6259677002324819","0.6259677002324819","0.6259677002324819","","","","","","","2249","2249","2249","0.617810502325941","0.617810502325941","0.617810502325941","","","","","","","","","","","","","2249","2249","2249","0.5760502318493179","0.5760502318493179","0.5760502318493179"
"76","2279","2279","2279","0.6221411548744539","0.6221411548744539","0.6221411548744539","","","","","","","2279","2279","2279","0.6283684454544111","0.6283684454544111","0.6283684454544111","","","","","","","","","","","","","2279","2279","2279","0.5856677465006407","0.5856677465006407","0.5856677465006407"
"77","2309","2309","2309","0.6146970034761068","0.6146970034761068","0.6146970034761068","","","","","","","2309","2309","2309","0.6313007539946299","0.6313007539946299","0.6313007539946299","","","","","","","","","","","","","2309","2309","2309","0.6004151896709836","0.6004151896709836","0.6004151896709836"
"78","2339","2339","2339","0.6226044032915186","0.6226044032915186","0.6226044032915186","","","","","","","2339","2339","2339","0.6224563388282812","0.6224563388282812","0.6224563388282812","","","","","","","","","","","","","2339","2339","2339","0.585257029384009","0.585257029384009","0.585257029384009"
"79","2369","2369","2369","0.6268885831976952","0.6268885831976952","0.6268885831976952","","","","","","","2369","2369","2369","0.6283037807810797","0.6283037807810797","0.6283037807810797","","","","","","","","","","","","","2369","2369","2369","0.5794263893225094","0.5794263893225094","0.5794263893225094"
"80","2399","2399","2399","0.6268724771515835","0.6268724771515835","0.6268724771515835","","","","","","","2399","2399","2399","0.6225577116967499","0.6225577116967499","0.6225577116967499","","","","","","","","","","","","","2399","2399","2399","0.5819042881215134","0.5819042881215134","0.5819042881215134"
"81","2429","2429","2429","0.6238910304645803","0.6238910304645803","0.6238910304645803","","","","","","","2429","2429","2429","0.6210619676992649","0.6210619676992649","0.6210619676992649","","","","","","","","","","","","","2429","2429","2429","0.5956152581457955","0.5956152581457955","0.5956152581457955"
"82","2459","2459","2459","0.6383873223774706","0.6383873223774706","0.6383873223774706","","","","","","","2459","2459","2459","0.6130713216268386","0.6130713216268386","0.6130713216268386","","","","","","","","","","","","","2459","2459","2459","0.6217108686888373","0.6217108686888373","0.6217108686888373"
