"Epoch","fearless-sun-353 - _step","fearless-sun-353 - _step__MIN","fearless-sun-353 - _step__MAX","fearless-sun-353 - RI score","fearless-sun-353 - RI score__MIN","fearless-sun-353 - RI score__MAX","silvery-fog-321 - _step","silvery-fog-321 - _step__MIN","silvery-fog-321 - _step__MAX","silvery-fog-321 - RI score","silvery-fog-321 - RI score__MIN","silvery-fog-321 - RI score__MAX","honest-feather-317 - _step","honest-feather-317 - _step__MIN","honest-feather-317 - _step__MAX","honest-feather-317 - RI score","honest-feather-317 - RI score__MIN","honest-feather-317 - RI score__MAX","rare-tree-337 - _step","rare-tree-337 - _step__MIN","rare-tree-337 - _step__MAX","rare-tree-337 - RI score","rare-tree-337 - RI score__MIN","rare-tree-337 - RI score__MAX","pleasant-grass-346 - _step","pleasant-grass-346 - _step__MIN","pleasant-grass-346 - _step__MAX","pleasant-grass-346 - RI score","pleasant-grass-346 - RI score__MIN","pleasant-grass-346 - RI score__MAX","brisk-valley-351 - _step","brisk-valley-351 - _step__MIN","brisk-valley-351 - _step__MAX","brisk-valley-351 - RI score","brisk-valley-351 - RI score__MIN","brisk-valley-351 - RI score__MAX","brisk-moon-313 - _step","brisk-moon-313 - _step__MIN","brisk-moon-313 - _step__MAX","brisk-moon-313 - RI score","brisk-moon-313 - RI score__MIN","brisk-moon-313 - RI score__MAX"
"27","3779","3779","3779","0.6126172110972986","0.6126172110972986","0.6126172110972986","944","944","944","0.8273779961158456","0.8273779961158456","0.8273779961158456","","","","","","","","","","","","","944","944","944","0.8022072780465399","0.8022072780465399","0.8022072780465399","944","944","944","0.7868812437281891","0.7868812437281891","0.7868812437281891","","","","","",""
"28","3919","3919","3919","0.6242867484435924","0.6242867484435924","0.6242867484435924","979","979","979","0.8259922816161677","0.8259922816161677","0.8259922816161677","","","","","","","","","","","","","979","979","979","0.798499158766057","0.798499158766057","0.798499158766057","979","979","979","0.7718427766211852","0.7718427766211852","0.7718427766211852","","","","","",""
"29","4059","4059","4059","0.5979028562014169","0.5979028562014169","0.5979028562014169","1014","1014","1014","0.8256486987084438","0.8256486987084438","0.8256486987084438","","","","","","","","","","","","","1014","1014","1014","0.7874837369758514","0.7874837369758514","0.7874837369758514","1014","1014","1014","0.7681891752911868","0.7681891752911868","0.7681891752911868","","","","","",""
"30","4199","4199","4199","0.6073627191077429","0.6073627191077429","0.6073627191077429","1049","1049","1049","0.8277103958542393","0.8277103958542393","0.8277103958542393","","","","","","","","","","","","","1049","1049","1049","0.7964776012101786","0.7964776012101786","0.7964776012101786","1049","1049","1049","0.7644027738253928","0.7644027738253928","0.7644027738253928","","","","","",""
"31","4339","4339","4339","0.6092713466233319","0.6092713466233319","0.6092713466233319","1084","1084","1084","0.8274125441210978","0.8274125441210978","0.8274125441210978","","","","","","","","","","","","","1084","1084","1084","0.7874413008422324","0.7874413008422324","0.7874413008422324","1084","1084","1084","0.7626878547785583","0.7626878547785583","0.7626878547785583","","","","","",""
"32","4479","4479","4479","0.6413186154836971","0.6413186154836971","0.6413186154836971","1119","1119","1119","0.8287630116674405","0.8287630116674405","0.8287630116674405","","","","","","","","","","","","","1119","1119","1119","0.7927576996620087","0.7927576996620087","0.7927576996620087","1119","1119","1119","0.7617635458634755","0.7617635458634755","0.7617635458634755","","","","","",""
"33","4619","4619","4619","0.601590805837215","0.601590805837215","0.601590805837215","1154","1154","1154","0.8245453592343523","0.8245453592343523","0.8245453592343523","","","","","","","","","","","","","1154","1154","1154","0.7839295859731105","0.7839295859731105","0.7839295859731105","1154","1154","1154","0.7609287023030339","0.7609287023030339","0.7609287023030339","","","","","",""
"34","4759","4759","4759","0.6484082455903865","0.6484082455903865","0.6484082455903865","1189","1189","1189","0.8294069425514601","0.8294069425514601","0.8294069425514601","","","","","","","","","","","","","1189","1189","1189","0.7915668918277992","0.7915668918277992","0.7915668918277992","1189","1189","1189","0.7593835277906751","0.7593835277906751","0.7593835277906751","","","","","",""
"35","4899","4899","4899","0.6416078801403887","0.6416078801403887","0.6416078801403887","1224","1224","1224","0.8283477366563322","0.8283477366563322","0.8283477366563322","","","","","","","","","","","","","1224","1224","1224","0.7914875112955003","0.7914875112955003","0.7914875112955003","1224","1224","1224","0.7578988622123704","0.7578988622123704","0.7578988622123704","","","","","",""
"36","5039","5039","5039","0.6559513931533043","0.6559513931533043","0.6559513931533043","1259","1259","1259","0.826977299164757","0.826977299164757","0.826977299164757","","","","","","","","","","","","","1259","1259","1259","0.7789815327931463","0.7789815327931463","0.7789815327931463","1259","1259","1259","0.7533204527186584","0.7533204527186584","0.7533204527186584","","","","","",""
